First,Last,birthyear,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
Xie,Bin,1998,2.24,39%,3.08,59%,4.81,45%,0%,0
Xiao,Long,1998,5.13,49%,3.49,54%,0.67,25%,78%,0
Rubens,Xavier,,0.77,42%,1.82,21%,2.1,40%,25%,1.1
Wuziazibieke,Jiahefu,1990,0.41,50%,2.84,41%,6.08,50%,0%,0
,Wulijiburen,1989,1.61,42%,3.02,56%,3.28,42%,77%,0.4
Wu,Yanan,1996,4.23,41%,4.95,49%,0.62,30%,63%,0.2
Marcin,Wrzosek,1987,3.47,43%,4.07,43%,3,25%,33%,0
Jordan,Wright,1991,4.1,56%,6.03,31%,2.09,45%,100%,0.4
Chris,Wright,,0,0%,0,0%,0,0%,0%,0
JW,Wright,1976,0,0%,0,0%,0,0%,0%,0
Justin,Wren,1987,3.43,35%,2.07,64%,0,0%,100%,0
Eric,Wray,,1.76,48%,3.12,28%,4.07,66%,0%,2
Khama,Worthy,1986,4.18,48%,4.45,46%,0,0%,57%,0.7
Hunter,Worsham,,0,0%,0,0%,0,0%,0%,0
Cal,Worsham,,0,0%,0,0%,0,0%,0%,0
Sean,Woodson,1992,5.41,46%,4,57%,0.71,80%,83%,0.5
Salvador,Woods,1985,0,0%,0,0%,0,0%,0%,0
Tyron,Woodley,1982,2.36,48%,2.76,54%,1.06,40%,87%,0.4
Val,Woodburn,1993,3.16,22%,11.05,30%,0,0%,100%,0
Nathaniel,Wood,1993,5.91,50%,4.22,56%,1.74,48%,70%,0.5
Joanne,Wood,1985,6.93,51%,4.72,51%,1.57,54%,59%,0.3
Xue Do,Won,,0,0%,0,0%,0,0%,0%,0
Brandon,Wolff,1975,0.47,33%,10.91,19%,0,0%,0%,0
Danyelle,Wolf,1983,2.37,25%,4.57,47%,0,0%,77%,0.5
Karolina,Wojcik,1994,2.67,65%,0.87,62%,2,66%,100%,1
Ray,Wizard,,0,0%,0,0%,0,0%,0%,0
Travis,Wiuff,1978,0.48,30%,4.03,41%,4.84,57%,44%,1.2
Jason,Witt,1986,2.15,44%,2.54,52%,6.9,48%,100%,0.9
Keith,Wisniewski,1981,2.32,52%,4.86,42%,1.57,40%,78%,0.3
Eric,Wisely,1984,1.42,47%,2.08,56%,0,0%,27%,0.9
Andre,Winner,1981,2.52,33%,4.57,51%,0,0%,74%,0
Deron,Winn,1989,4.55,44%,6.21,46%,4.28,52%,40%,0
Eddie,Wineland,1984,3.4,29%,3.76,68%,0.34,33%,86%,0.1
Matt,Wiman,1983,3.17,50%,3.57,51%,2.13,37%,56%,1.5
Westin,Wilson,1989,1.38,50%,7.59,26%,0,0%,0%,10.3
Sean,Wilson,1982,1.01,31%,5.88,62%,0,0%,0%,0
Jonathan,Wilson,1987,2.92,48%,5.65,56%,0.37,100%,80%,0
Greg,Wilson,1988,0,0%,0,0%,0,0%,0%,0
Chris,Wilson,1977,2.32,50%,1.36,55%,1.31,50%,60%,1.6
Justin,Willis,1987,3.37,59%,2.57,57%,0.96,66%,36%,0
Karl,Willis,,0,0%,0,0%,0,0%,0%,0
Karl,Williams,1990,2.93,49%,1.8,62%,4,46%,100%,0
Khaos,Williams,1994,5.77,39%,5.33,42%,0,0%,80%,0
Cole,Williams,1983,0.31,27%,5.34,23%,0,0%,25%,0
Jordan,Williams,1990,5.83,50%,5.46,35%,1.11,50%,85%,0
Tim,Williams,1986,3.07,38%,3.55,48%,1.81,40%,100%,0
Patrick,Williams,1981,4.12,51%,4.12,52%,2.71,41%,100%,0.5
Carter,Williams,,1.55,36%,2.32,58%,2.9,33%,100%,0
Rubin,Williams,1976,0,0%,1.39,60%,0,0%,0%,0
Pete,Williams,1975,0.61,62%,2.77,40%,1.84,40%,16%,0.9
Tedd,Williams,1969,0,0%,0,0%,0,0%,0%,0
James,Wilks,1978,1.82,45%,2.03,50%,1.27,22%,66%,3.8
Rob,Wilkinson,1992,2.74,50%,5.66,39%,4.47,25%,0%,0
