First,Last,birthyear,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
Irwin,Rivera,1989,3.36,44%,5.07,57%,1,16%,70%,0
Jimmie,Rivera,1989,4.03,40%,3.9,60%,0.88,27%,92%,0.1
Jonathan,Rivera,,4.36,49%,3.9,60%,0,0%,0%,0
Francisco,Rivera,1981,4.07,41%,3.16,68%,1.01,63%,68%,0.6
Mario,Rivera,,0,0%,8.41,20%,0,0%,0%,0
Dante,Rivera,1974,2.27,53%,4,25%,0,0%,16%,0
Jorge,Rivera,1972,3.16,48%,2.64,54%,0.84,50%,63%,0.1
Diego,Rivas,1991,1.37,40%,2.14,52%,1.79,60%,64%,0.9
Shannon,Ritch,1970,1,100%,6,50%,0,0%,0%,0
Maria,Rios,1983,2.93,34%,4.13,56%,2,50%,100%,0
Rafael,Rios,,0,0%,0,0%,0,0%,0%,0
Albert,Rios,,0,0%,0,0%,0,0%,0%,0
Mike,Rio,1981,1.68,39%,2.99,53%,2.58,27%,0%,1
Robbie,Ring,2000,5.11,38%,9.15,38%,4.04,33%,0%,0
Nick,Ring,1979,3.52,42%,3.48,62%,1.36,36%,52%,0.3
Jordan,Rinaldi,1987,1.56,35%,2.32,59%,1.45,35%,20%,1.2
Moise,Rimbon,1977,0.8,34%,1,71%,1,50%,37%,0
Jason,Riley,1975,0,0%,9.68,33%,0,0%,50%,0
Aaron,Riley,1980,3.45,34%,3.78,61%,1.18,34%,60%,0.1
Jeremiah,Riggs,1982,0,0%,0,0%,0,0%,0%,0
Joe,Riggs,1982,2.41,51%,1.69,57%,2.45,55%,62%,0.6
Matthew,Riddle,1986,3.01,42%,2.74,54%,3.51,50%,89%,0.5
Brad,Riddell,1991,4.71,53%,3.53,53%,1.77,36%,63%,0
Haisam,Rida,1993,0,0%,0,0%,0,0%,0%,0
Dave,Rickels,1989,4.29,59%,5.53,42%,0,0%,25%,0
Mike,Richman,1985,4.06,44%,3.49,43%,0,0%,76%,0
Rex,Richards,,17.65,58%,5.29,72%,0,0%,0%,0
John,Richard,1982,0,0%,0,0%,0,0%,0%,0
Matt,Ricehouse,1987,3.7,44%,4.8,47%,1,22%,81%,0
Tabatha,Ricci,1995,4.41,37%,4.86,59%,3.39,41%,71%,0.2
Alex,Ricci,1982,2.48,41%,2.53,64%,0,0%,64%,0
Mike,Ricci,1986,1.8,32%,1.64,65%,0.67,100%,54%,0
Esteban,Ribovics,1996,6.16,52%,3.4,52%,0.95,66%,60%,0.5
Brendson,Ribeiro,1996,8.46,46%,5.29,64%,0,0%,0%,0
Claudio,Ribeiro,1992,4.65,57%,3.34,31%,0.76,50%,75%,0
Will,Ribeiro,1983,1.83,28%,1.64,74%,1.15,100%,50%,2.9
Vitor,Ribeiro,1979,1,28%,1.95,48%,1.58,26%,100%,1.2
Amanda,Ribas,1993,4.92,42%,3.33,63%,1.99,51%,87%,0.8
Lucrezia,Ria,1992,4.07,46%,4.4,45%,1,33%,0%,0
Mike,Rhodes,1989,3.2,39%,4.13,64%,0.96,33%,75%,0.5
Johnny,Rhodes,,0,0%,0,0%,0,0%,0%,0
Gaston,Reyno,1986,7.79,62%,3.9,44%,0,0%,0%,11.7
Victor,Reyna,1986,5.8,63%,4.75,42%,0,0%,100%,0
Kyle,Reyes,,0,0%,0,0%,0,0%,0%,0
Alex,Reyes,1986,4.04,39%,10.91,40%,0,0%,0%,0
Dominick,Reyes,1989,4.75,50%,3.77,48%,0.36,28%,80%,0.4
Marco Polo,Reyes,1984,6,37%,5.52,59%,0,0%,46%,0
Herman,Renting,,0,0%,0,0%,0,0%,0%,0
John,Renken,,0,0%,0,0%,0,0%,0%,0
Solomon,Renfro,1997,5.2,44%,3.53,61%,2,50%,100%,0
Marion,Reneau,1977,3.2,41%,3.52,59%,0.62,63%,50%,0.8
Montserrat,Rendon,1989,4.6,37%,4,44%,3,60%,100%,0
Chance,Rencountre,1986,1.1,20%,3.62,49%,1.35,26%,16%,0.3
Paulo,Junior,1994,4.89,45%,5.18,56%,0,0%,100%,0
Leigh,Remedios,1976,0.75,41%,1.36,68%,0,0%,33%,0
Goran,Reljic,1984,1.69,37%,2.69,59%,1.69,50%,33%,1.1
Ben,Reiter,1987,1.8,46%,1.53,54%,7,43%,0%,0
Wilson,Reis,1985,1.83,29%,3.04,55%,5.15,42%,47%,0.6
Jason,Reinhardt,1969,0.51,40%,4.07,43%,1.91,12%,50%,0
Chad,Reiner,1981,0.53,20%,1.97,46%,0.99,33%,25%,2
Stephen,Regman,1991,1.41,60%,4.93,23%,3.52,100%,0%,0
Zach,Reese,1994,6.49,61%,8.92,31%,0,0%,0%,12.2
James,Reese,1980,0,0%,0,0%,0,0%,0%,0
Johnny,Rees,1982,3.29,64%,0.84,47%,1.15,25%,50%,0
John,Reedy,,0,0%,0,0%,0,0%,0%,0
Elise,Reed,1992,2.66,49%,3.06,52%,0.58,60%,42%,0
Karl,Reed,1988,2.04,44%,3.84,38%,1.06,22%,53%,0
Dennis,Reed,,0,0%,0,0%,0,0%,0%,0
Paul,Redmond,1986,0.72,34%,2.99,41%,0,0%,50%,0
Greg,Rebello,1982,2.61,39%,2.92,58%,0,0%,0%,0
Rafael,Rebello,1980,2.19,32%,3.29,58%,2.82,33%,75%,0.5
Mateusz,Rebecki,1992,5.31,53%,2.01,63%,4.16,72%,66%,1.6
Antony,Rea,1976,2.89,28%,5.42,42%,0,0%,100%,0
Abdul,Alhassan,1985,3.37,48%,3.99,55%,0.89,38%,50%,0.2
Iony,Razafiarison,1984,1.2,42%,1.4,53%,2,50%,75%,0
Keenan,Raymond,,0,0%,0,0%,0,0%,0%,0
Stevie,Ray,1990,3.73,44%,2.93,54%,0.75,46%,55%,0.6
Joe,Ray,1984,0,0%,0,0%,0,0%,0%,0
Gideon,Ray,1973,2.08,40%,2.58,53%,1.49,100%,0%,0
Bec,Rawlings,1989,4.48,42%,5.66,57%,0.71,40%,68%,0.4
Ed,Ratcliff,1983,2.71,38%,2.96,63%,0.28,16%,53%,0
David,Rasouri,,0,0%,0,0%,0,0%,0%,0
Hussain,Rasouli,,0,0%,0,0%,0,0%,0%,0
Mitch,Raposo,1998,2.57,25%,3.18,56%,3.67,66%,0%,0
Raou,Raou,,2.01,16%,6.75,60%,0,0%,0%,0
Kevin,Randleman,1971,1.26,54%,1.12,57%,2,56%,30%,0.8
Vernon,Ho,1992,4,25%,8,55%,0,0%,0%,0
Davi,Ramos,1986,2.64,37%,3.44,56%,1.95,40%,83%,0.6
Ricardo,Ramos,1995,3.21,37%,3.78,57%,2.79,59%,72%,0.7
Luis,Ramos,1981,2.4,35%,5.6,42%,1.5,20%,100%,0
Ian,Rammel,1985,0,0%,0,0%,0,0%,0%,0
Andrew,Ramm,,0,0%,0,0%,0,0%,0%,0
Mitch,Ramirez,1992,3.69,52%,4.81,36%,2.41,100%,0%,0
Amador,Ramirez,1990,4.93,51%,2.07,69%,1,33%,0%,0
Steve,Ramirez,,0,0%,0,0%,0,0%,0%,0
Matt,Ramirez,,3.03,50%,0.67,75%,2.53,16%,100%,0
Hector,Ramirez,1976,2.27,41%,4.6,56%,2.3,55%,66%,0.5
Thomas,Ramirez,,0,0%,0,0%,0,0%,0%,0
Jessica,Rakoczy,1977,2.5,44%,3.55,64%,0.75,20%,0%,0.8
Aleksandar,Rakic,1992,4.01,50%,2.3,53%,0.82,25%,90%,0.2
Sora,Rakhmonova,1998,0,0%,0,0%,0,0%,0%,0
Shavkat,Rakhmonov,1994,4.45,59%,2.61,53%,1.49,33%,100%,1.5
Ricky,Rainey,1983,2.55,48%,2.62,46%,0.95,18%,55%,0
Amir,Rahnavardi,1974,0.67,25%,0,100%,0,0%,50%,0
Josh,Rafferty,1981,0.6,33%,3.6,50%,0,0%,0%,9
Gilbert,Rael,,0,0%,7.46,37%,4.86,100%,0%,0
Loik,Radzhabov,1990,2.61,42%,5.31,46%,7.3,52%,50%,0
Charles,Radtke,1990,2.33,46%,2.93,53%,1,16%,100%,0
Jordan,Radev,1976,1.35,23%,2.38,66%,0,0%,80%,0
Benji,Radach,1979,2.62,49%,2.31,51%,1.06,41%,71%,0.4
Cristian,Quinonez,1996,5.23,42%,5.13,59%,0.73,100%,85%,0
Jose,Quinonez,1990,3.6,45%,3,64%,2.7,47%,42%,0.6
Landon,Quinones,1995,9.87,41%,11.4,54%,0,0%,100%,0
Michel,Quinones,1984,2.91,29%,5.98,48%,0,0%,36%,0
Ryan,Quinn,,2.31,41%,1.67,48%,0,0%,0%,1.9
Josh,Quinlan,1993,3.68,41%,5.97,50%,0.84,12%,60%,0
Jimmy,Quinlan,1986,2.08,70%,5.94,16%,4.46,25%,0%,0
Vinicius,Queiroz,1983,3.67,51%,4.1,41%,5.07,70%,100%,0.7
Nate,Quarry,1972,4.96,44%,2.8,66%,0.25,33%,60%,0
Billy,Quarantillo,1988,7.71,57%,5.61,43%,1.31,23%,63%,1.2
Gary,Quan,1971,0,0%,0,0%,0,0%,0%,0
Bao,Quach,1979,0,0%,0,0%,0,0%,0%,0
Qiu,Lun,1997,3.51,46%,1.78,67%,0.67,18%,68%,0
Mike,Pyle,1975,2.74,45%,2.84,60%,1.8,35%,70%,1.5
Joe,Pyfer,1996,3.64,45%,2.34,55%,2.97,83%,50%,1.8
CM,Punk,1978,1.1,23%,4.87,40%,0.87,11%,0%,0
Jens,Pulver,1974,2.12,37%,3.13,56%,0.22,33%,63%,0.3
Josh,Pulsifer,1983,0,0%,0,0%,0,0%,0%,0
Hugh,Pulley,,4.47,63%,3.27,57%,4,66%,69%,0
Juan Manuel,Puig,1989,4.91,23%,7.17,51%,0,0%,0%,0
Bubba,Pugh,,2.87,67%,2.6,23%,4,57%,80%,0
Juan,Puerta,1988,1.27,39%,1.27,67%,1,100%,0%,0
Claudio,Puelles,1996,1.82,49%,2.93,47%,2.41,30%,60%,1.4
Lucie,Pudilova,1994,3.68,37%,3.83,51%,0.55,27%,66%,0.7
Daniel,Puder,1981,2.77,68%,1.17,38%,1.21,50%,81%,9
Cole,Province,1981,1.47,44%,2.72,43%,2.4,50%,83%,1
Joe,Proctor,1985,3.39,36%,3.93,59%,0,0%,70%,1.8
Lara,Procopio,1995,5.64,58%,6.5,47%,3.15,47%,50%,0.3
Jiri,Prochazka,1992,5.31,55%,5.17,40%,0.61,50%,68%,0.3
Brent,Primus,1985,1.73,39%,2.27,59%,5,38%,0%,2
Shane,Primm,1984,0.83,26%,2.25,62%,1.78,20%,0%,0
Niko,Price,1989,5.46,42%,5.6,48%,0.7,20%,64%,0.7
Chris,Price,1982,1.44,66%,2.59,48%,0,0%,33%,2.2
Dorian,Price,1977,0,0%,0,0%,0,0%,0%,0
Kyle,Prepolec,1989,3.2,34%,4.7,54%,0,0%,40%,0
Philip,Preece,,0.8,72%,0.7,63%,0,0%,0%,0
Michel,Prazeres,1981,2.38,47%,2.51,57%,3.94,36%,47%,0.6
Carlos,Prates,1993,4.81,63%,3.69,47%,0,0%,0%,0
Carlo,Prater,1981,2.03,47%,4.07,35%,0.43,9%,57%,1.7
Ricardo,Prasel,1990,2.21,57%,7.83,37%,0,0%,0%,0
Trevor,Prangley,1972,2.59,60%,2.02,48%,3.38,55%,74%,1
Francisco,Prado,2002,3.46,50%,3.83,46%,0,0%,25%,0.8
Wagner,Prado,1986,1.72,40%,3.06,50%,0,0%,22%,0
Marcin,Prachnio,1988,5.39,55%,3.25,53%,0,0%,54%,0
Devin,Powell,1988,2.88,41%,3.67,51%,0,0%,0%,0.6
Ruan,Potts,1978,0.85,37%,5.92,22%,0.75,16%,33%,2.3
Dylan,Potter,1995,3.1,48%,5.78,46%,0,0%,33%,1.1
Callan,Potter,1984,3.18,50%,4.72,58%,3.29,66%,100%,0
Ihor,Potieria,1996,4.44,56%,5.52,42%,0,0%,33%,0
Parker,Porter,1985,6.55,50%,6.32,51%,1.35,26%,66%,0.5
Felipe,Portela,1987,0,0%,0,0%,0,0%,0%,0
Alexander,Poppeck,1992,4.01,57%,9.81,33%,0,0%,0%,0
Grigory,Popov,1984,3.63,37%,4.2,55%,0,0%,45%,0
Santiago,Ponzinibbio,1986,4.9,41%,4.67,61%,0.48,30%,60%,0
Mike,Polchlopek,1965,2,38%,1.33,57%,0,0%,0%,0
Brandon,Polcare,,0.43,50%,0,0%,0,0%,0%,0
Julia,Polastri,1998,6.19,52%,5.11,62%,0.62,100%,42%,0.6
John,Polakowski,1981,2.6,26%,2.83,50%,0,0%,87%,0.7
Igor,Pokrajac,1979,2.25,45%,4.26,40%,0.87,29%,51%,0.2
Dustin,Poirier,1989,5.49,50%,4.3,53%,1.36,36%,63%,1.2
Ross,Pointon,1980,2.62,23%,2.77,58%,1.19,100%,0%,0
Jamal,Pogues,1995,3.12,42%,4.25,52%,3,48%,66%,0
Dmitry,Poberezhets,1985,0,0%,0,0%,0,0%,0%,0
Maki,Pitolo,1990,4.1,44%,3.93,55%,2.24,52%,50%,0.8
Gaetano,Pirrello,1992,0.99,55%,2.44,42%,0,0%,30%,0
Luana,Pinheiro,1992,3.89,41%,4.38,62%,2.36,40%,66%,0.3
Pingyuan,Liu,1993,2.36,33%,2.99,54%,0.25,20%,56%,1
Jesus,Pinedo,1996,3.23,38%,4.37,52%,2.5,100%,100%,0
Daniel,Pineda,1985,3.09,49%,3.18,46%,1.71,25%,48%,1.7
Paddy,Pimblett,1995,4.19,46%,3.48,41%,0.97,25%,56%,2.4
Domingo,Pilarte,1990,1.31,47%,2.96,40%,1.2,42%,54%,0.8
Sean,Pierson,1976,3.84,39%,3.73,64%,0.39,18%,66%,0.4
Joao,Pierini,1971,0.76,14%,4.56,33%,0,0%,0%,0
Mike,Pierce,1980,2.62,42%,2.36,62%,3.08,42%,71%,0.2
Nick,Piedmont,,0,0%,0,0%,0,0%,0%,0
Oskar,Piechota,1990,3.3,52%,3.93,51%,0.61,40%,38%,1.5
Fabiola,Pidroni,1994,0,0%,0,0%,0,0%,0%,0
Jamie,Pickett,1988,2.84,48%,3.92,49%,1.44,40%,69%,0.1
Brad,Pickett,1978,3.02,31%,4.63,55%,2.47,44%,58%,0.4
Vinc,Pichel,1982,3.56,47%,2.5,58%,3,54%,23%,0.2
Adam,Piccolotti,1988,4.61,50%,2.83,71%,2.96,60%,100%,3
Nick,Pica,,0,0%,0,0%,0,0%,0%,0
Mario,Piazzon,1998,1.35,73%,1.16,40%,18.87,50%,50%,0
Kyler,Phillips,1995,5.36,46%,3.36,61%,2.87,46%,70%,0.6
John,Phillips,1985,1.72,34%,4.03,49%,0,0%,7%,0
Elizabeth,Phillips,1986,2.6,33%,3.07,58%,0.75,25%,53%,0.2
Aaron,Phillips,1989,1.51,53%,3.66,43%,0.86,50%,44%,0.6
Dave,Phillips,1980,0,0%,2,25%,0,0%,0%,10
Wayne,Phillips,1983,0,0%,0,0%,0,0%,0%,0
Constantinos,Philippou,1979,2.19,35%,2.73,54%,0.4,42%,65%,0.3
Nam,Phan,1983,4.52,37%,6.55,59%,0.18,18%,60%,0.2
Cody,Pfister,1990,1.41,25%,2.8,51%,2.82,30%,0%,0
Dino,Pezao,,0.66,30%,3.28,31%,0,0%,0%,0
Forrest,Petz,1975,2.27,29%,2.2,57%,1.3,100%,66%,0
Sergio,Pettis,1993,3.88,37%,2.91,65%,0.85,40%,67%,0.4
Anthony,Pettis,1987,3.05,47%,3.44,54%,0.61,50%,60%,1.1
Peter,Petties,1990,2.61,29%,8.24,48%,0,0%,0%,0
Seth,Petruzelli,1979,2.17,41%,2.08,55%,0.46,50%,47%,2.3
Ivana,Petrovic,1994,1.47,35%,2.73,52%,2,33%,66%,2
Armen,Petrosyan,1990,5.97,52%,3.03,56%,0.23,33%,36%,0
Andre,Petroski,1991,3.61,51%,3.03,51%,4.48,54%,71%,2.5
Vitor,Petrino,1997,3.07,48%,2.65,43%,4.15,70%,68%,1
Steven,Peterson,1990,4.76,40%,5.94,53%,1.42,26%,64%,0.7
Cory,Peterson,,2.17,60%,6.51,40%,0,0%,0%,0
Thomas,Petersen,1995,3.59,73%,2.45,40%,7.34,100%,100%,2.5
Tommy,Petersen,,0,0%,0,0%,0,0%,0%,0
Tony,Petarra,,0,0%,0,0%,0,0%,0%,0
Leiticia,Pestova,1984,0,0%,24.62,44%,0,0%,0%,0
Viktor,Pesta,1990,1.58,36%,2.54,56%,3.29,28%,100%,0
Raphael,Pessoa,1989,2.16,26%,3.43,42%,0,0%,100%,0
Mike,Perry,1991,4.32,47%,5.16,52%,0.81,40%,78%,0.2
Jay,Perrin,1993,3.71,46%,3.9,44%,2.83,52%,58%,0
Hernani,Perpetuo,1985,2.73,29%,4.37,55%,0,0%,37%,0.5
Thiago,Perpetuo,1987,5.39,69%,3.51,51%,2.82,50%,66%,0
Anthony,Perosh,1972,2.27,43%,3.77,53%,2.03,22%,33%,1.1
Ailin,Perez,1994,2.96,55%,1.18,57%,4.89,50%,75%,0
Markus,Perez,1988,2.6,47%,3.72,52%,0.81,25%,77%,1
Alex,Perez,1992,4.67,48%,3.14,60%,2.84,44%,77%,1.3
Jose,Perez,,0,0%,0,0%,0,0%,0%,0
Frankie,Perez,1989,1.64,41%,2.17,54%,1.75,41%,50%,0.3
Alejandro,Perez,1989,3.45,35%,3.18,61%,0.54,22%,70%,0.3
Erik,Perez,1989,3.16,40%,2.09,66%,3.16,55%,69%,0.2
Philip,Perez,,1.36,100%,0.68,66%,10.23,100%,0%,10.2
Rolando,Perez,,4.23,36%,4.83,63%,0,0%,100%,0
Luciano,Pereira,2001,0,0%,0,0%,0,0%,0%,0
Daniel,Pereira,1990,0,0%,0,0%,0,0%,0%,0
Alex,Pereira,1987,5,62%,3.65,50%,0.19,100%,70%,0.4
Michel,Pereira,1993,5.09,53%,3.74,58%,1.56,55%,94%,0.6
Viviane,Pereira,1993,2.7,30%,4.48,58%,0.25,100%,28%,0.2
Robert,Peralta,1986,3.76,44%,2.97,53%,0.59,66%,65%,0
Ray,Perales,,0.18,25%,2.39,32%,0,0%,33%,0
Godofredo,Pepey,1987,2.32,38%,3.23,47%,0.37,7%,35%,1.5
Jerron,Peoples,1982,0,0%,0,0%,0,0%,0%,0
Raquel,Pennington,1988,4.02,50%,3.34,62%,0.93,27%,63%,0.6
Justin,Pennington,,0,0%,0,0%,0,0%,0%,0
Nick,Penner,1980,1.25,30%,4.6,38%,0,0%,40%,0
Jessica,Penne,1983,2.52,31%,4.75,46%,1.32,21%,36%,0.6
BJ,Penn,1978,2.76,48%,3.2,56%,1.19,55%,74%,0.5
Cathal,Pendred,1987,2.49,44%,3.01,55%,2.46,23%,83%,0.4
Drew,Pendleton,1983,0,0%,0,0%,0,0%,0%,0
Sherman,Pendergarst,1967,1.23,36%,3.08,16%,4.62,100%,0%,0
Matej,Penaz,1996,1.28,33%,2.55,33%,0,0%,0%,0
Felipe,Pena,1991,0,0%,0,0%,0,0%,0%,0
Luis,Pena,1993,3.66,46%,3.12,51%,1.17,33%,48%,1.2
Julianna,Pena,1989,3.16,47%,2.3,50%,1.94,55%,23%,0.8
Yan,Pellerin,,0.59,25%,0.89,66%,4.43,100%,0%,0
Kurt,Pellegrino,1979,2.45,43%,1.94,63%,2.9,54%,69%,0.8
Filip,Pejic,1992,0,0%,0.88,33%,0,0%,0%,0
Willie,Peeters,1965,0,0%,0,0%,0,0%,0%,0
Trevor,Peek,1995,5.09,56%,4.37,44%,1.76,50%,51%,0
Tyson,Pedro,1991,3.11,61%,2.53,54%,0.94,36%,52%,0.9
Matt,Pedro,,0,0%,0,0%,0,0%,0%,0
Carlo,,1993,4.17,37%,4.12,61%,2.91,44%,0%,0
Andre,Pederneiras,1967,0,0%,0,0%,0,0%,0%,0
Ross,Pearson,1984,3.68,40%,4.09,62%,0.74,35%,75%,0
Joe,Pearson,1978,0.59,18%,3.51,33%,0,0%,0%,4.4
Jonathan,Pearce,1992,5.6,56%,3.35,55%,5.29,53%,56%,0.8
Roland,Payne,,0,0%,0,0%,0,0%,0%,0
Sarah,Payant,,0.29,16%,2.06,30%,0,0%,0%,0
Estevan,Payan,1982,4.25,42%,3.58,57%,0.36,100%,60%,0.4
Pawel,Pawlak,1989,1.67,33%,2.22,53%,1,37%,70%,0
Sergei,Pavlovich,1992,8.21,48%,4.61,55%,0,0%,75%,0
Thomas,Paull,1994,7.33,33%,8.67,64%,0,0%,0%,0
Julio,Paulino,1975,0.97,27%,1.87,48%,0,0%,37%,0.5
Zac,Pauga,1988,4.44,62%,2.72,57%,0.42,9%,100%,0
Sam,Patterson,1996,2.56,36%,3.98,44%,0,0%,33%,2.8
Justin,Patterson,1985,0,0%,0,0%,0,0%,0%,0
Michael,Patt,,1.65,28%,5.53,55%,0,0%,0%,0
Alan,Patrick,1983,1.82,40%,2.95,43%,3.01,33%,43%,0.3
Claude,Patrick,1980,1.8,55%,0.89,69%,2.32,53%,84%,1.7
Russell,Patrick,,0,0%,0,0%,0,0%,0%,0
Jorge,Patino,1973,1.33,30%,3.14,53%,0.54,25%,50%,0
Windri,Patilima,1993,0.31,50%,7.64,31%,0,0%,0%,0
Jhonoven,Pati,1990,2.88,53%,6.13,33%,2.7,100%,0%,0
Billy,Pasulatan,1991,0.65,20%,5.22,48%,0,0%,0%,4.9
Ramona,Pascual,1988,3.87,57%,8.43,46%,1.81,19%,100%,0
Onassis,Parungao,,0,0%,0,0%,0,0%,0%,0
Jonny,Parsons,1991,4.65,44%,4.89,60%,0,0%,66%,0
Preston,Parsons,1995,4.14,56%,3.76,49%,3.11,33%,100%,3.5
Jordan,Parsons,1990,3.29,40%,2.37,60%,1.54,21%,50%,1
Willie,Parks,1983,0,0%,0,0%,0,0%,0%,0
Mick,Parkin,1995,4.41,52%,4.01,55%,2.35,41%,50%,0.5
Tyra,Parker,,1.5,22%,9,14%,0,0%,0%,0
Larry,Parker,,0,0%,0,0%,0,0%,0%,0
Ryan,Parker,,0,0%,0,0%,0,0%,0%,0
Norman,Parke,1986,3.06,35%,2.88,64%,1.98,26%,77%,0
Jae Hyun,Park,2001,0.8,63%,1,21%,0,0%,22%,0
HyunSung,Park,1995,3.51,48%,2.62,59%,2.23,30%,100%,3.7
Harvey,Park,1986,3.77,50%,7.21,33%,0,0%,0%,0
JunYong,Park,1991,4.94,51%,3.66,53%,2.1,50%,69%,1.2
Won Sik,Park,,2.6,43%,2.2,47%,0,0%,0%,0
Karo,Parisyan,1982,2.49,41%,2.19,58%,5.27,59%,59%,1
Josh,Parisian,1989,4.54,48%,4.81,41%,0.99,33%,46%,0.2
Ido,Pariente,,0,0%,2.86,45%,0,0%,0%,0
Remco,Pardoel,,0,0%,0,0%,0,0%,0%,0
Bryan,Pardoe,,1.11,36%,4.59,45%,4.75,40%,33%,0
Joe,Pardo,,0,0%,0,0%,0,0%,0%,0
Kathryn,Paprocki,1993,1,23%,4.27,43%,0,0%,0%,0
Jared,Papazian,1988,3.33,39%,3.81,44%,0,0%,50%,0
Alexandre,Pantoja,1990,4.41,48%,3.81,51%,1.75,44%,66%,1
Yuri,Panferov,1996,2.33,52%,0.91,41%,0,0%,36%,0
Eduardo,Pamplona,1973,0,0%,0,0%,0,0%,0%,0
Stephen,Palling,1967,0,0%,0,0%,0,0%,0%,0
Tulio,Palhares,,0,0%,0,0%,0,0%,0%,0
Rousimar,Palhares,1980,1.75,51%,2.04,59%,3.93,45%,0%,4.1
Soa,Palelei,1977,2.47,57%,2.68,48%,2.2,47%,66%,0
Sasha,Palatnikov,1989,6.69,53%,5.44,52%,0.72,100%,70%,0
Bart,Palaszewski,1983,2.67,32%,3.97,57%,0.65,31%,53%,0.5
Ricky,Palacios,1987,7.73,53%,3.27,59%,0,0%,100%,0
Jose,Palacios,,2.67,70%,1,79%,0,0%,50%,1.7
Luis,Pajuelo,1994,9.15,61%,5.11,62%,0,0%,66%,0
Fredson,Paixao,1979,1.71,54%,2.31,62%,0.62,11%,10%,2.2
Dinis,,1988,2.6,41%,2.73,67%,0,0%,81%,0
Raulian,Paiva,1995,4.14,42%,5.01,48%,0.65,23%,77%,0.2
Josh,Paiva,1991,0,0%,0,0%,0,0%,0%,0
Dustin,Pague,1987,1.65,53%,2.96,41%,1.03,44%,55%,2.6
Michael,Page,1987,4.53,76%,0.45,77%,3.4,100%,100%,0
Damacio,Page,1982,2.05,38%,2.47,51%,2.63,64%,23%,0.9
Fernando,Padilla,1996,5.51,38%,5.81,53%,0,0%,100%,0
Gary,Padilla,1980,2.2,27%,2,76%,0,0%,50%,0
Cyrillo,Padilha,1978,0,0%,0,0%,0,0%,0%,0
George,Pacurariu,1984,4.69,53%,2.68,63%,5.03,100%,100%,5
Teemu,Packalen,1987,2.57,54%,3.91,47%,2.31,25%,100%,1.5
Angel,Pacheco,1992,13.13,40%,13.6,35%,0,0%,33%,0
Larissa,Pacheco,1994,1.21,19%,4.14,55%,0,0%,0%,0
Nick,Pace,1987,1.48,34%,3.14,57%,2.52,43%,54%,0.5
Raquel,aluhi,,1.71,56%,3.42,46%,0,0%,18%,0
Alptekin,Ozkilic,1986,3.81,32%,5.72,59%,4.21,58%,75%,0
Shungo,Oyama,1974,0.64,25%,1.96,57%,1.07,57%,62%,0.5
Craig,Oxley,1973,0,0%,0,0%,0,0%,0%,0
Valentijn,Overeem,1976,0.93,34%,1.49,58%,1.86,50%,0%,4.7
Alistair,Overeem,1980,3.67,64%,2.44,57%,1.42,55%,73%,0.8
Sidney,Outlaw,1992,0.13,33%,0.8,71%,3,75%,0%,3
Artur,Oumakhanov,1979,1.2,33%,1.67,82%,3,75%,33%,0
Zak,Ottow,1986,2.63,36%,2.73,58%,0.97,29%,57%,0.4
Takafumi,Otsuka,,1.29,27%,2.12,67%,1.64,27%,65%,0
Alexander,Otsuka,1971,0.9,55%,1.16,51%,1.51,43%,53%,0.8
Pedro,Otavio,,0,0%,0,0%,0,0%,0%,0
Rachael,Ostovich,1991,2.54,43%,3.97,57%,2.03,83%,66%,0.8
Nissen,Osterneck,1981,3.15,58%,2.9,41%,0.63,12%,42%,1.3
Nick,Osipczak,1984,2.83,50%,3.77,50%,1.2,45%,71%,1
Kurt,Osiander,,0,0%,0,0%,0,0%,0%,0
Ode,Osbourne,1992,3.74,39%,4.41,45%,1.37,27%,68%,0.3
Kenji,Osawa,1976,2.34,35%,2.14,63%,0.91,58%,68%,0.7
Dustin,Ortiz,1988,2.94,44%,2.17,56%,3.01,36%,52%,0.1
Jorge,Ortiz,,3.53,58%,2.8,73%,0,0%,0%,0
Tito,Ortiz,1975,2.59,46%,2.88,60%,2.47,35%,54%,0.6
Brian,Ortega,1991,4.19,38%,6.66,49%,0.95,23%,56%,1.2
Sam,Oropeza,,7.68,56%,1.44,70%,3.6,33%,100%,0
Myktybek,Orolbai,1998,0.87,40%,1.52,48%,11.41,70%,0%,1.6
Chibwikem,Onyenegecha,1994,5.6,55%,3.4,52%,0,0%,100%,0
Charlie,Ontiveros,1991,1.89,41%,5.86,31%,0,0%,30%,0
David,Onama,1994,5.38,46%,5.48,51%,0.87,18%,45%,0.3
Michihiro,Omigawa,1975,2.01,39%,3.06,64%,1.19,36%,49%,1.5
Daniel,Omielanczuk,1982,3.09,57%,3.29,47%,0.56,26%,68%,0.1
Alan,Omer,1988,3.49,55%,2.21,64%,1.69,42%,66%,0
Gadzhi,Omargadzhiev,1993,1.8,39%,2.2,39%,1.35,30%,60%,0.5
Cameron,Olson,1989,3.13,47%,2.2,57%,3,42%,100%,1
Dennis,Olson,,1.02,42%,5.27,38%,2.77,40%,0%,0
Casey,Olson,,2.48,60%,0,100%,3.54,57%,100%,1.8
Shana,Olsen,1980,0,0%,0,0%,0,0%,0%,0
Andy,Ologun,1983,2.36,57%,0.32,85%,0.68,100%,80%,0
Felipe,Olivieri,1985,6.68,58%,4.6,57%,0,0%,71%,0
